On Card Played Add Foam Bullets To Hand                                 ,Add <{a}> <card=FoamBullet> to your hand when played                                                               ,Stock of Foam Bullets(1)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,Instant Summon FoamBullet In Hand                                            ,StatusEffectApplyXOnCardPlayed                        ,nan                                                                      ,0           ,nan                                     ,Custom effect: adds Foam Bullets to hand on play.                        
Frost                                                                    ,None                                                                                                                                                      ,"Frost Bell(a2),Frostbloom(a3),Frostinger(a1),Grink(a2),Leader(a2),Leader(a2),Leader(a2),Leader(a1),Frosthand Charm(a1),Frostwolf Charm(4)                                                                                                                                                                                                                                                                                                                                                                                                          ",nan                                                                            ,StatusEffectFrost                                     ,nan                                                                      ,-9999           ,nan                                     ,nan                                                                   
Gain Frenzy When Wild Unit Killed                                        ,None; Used by Wild Trait                                                                                                                                  ,"Razor(1),Bam(1),Boozle(1),Hog(1),Warthog(1)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",MultiHit                                                                       ,StatusEffectApplyXWhenUnitIsKilled                    ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Gain Gold Range (3-6)                                                    ,None                                                                                                                                                      ,[Unused]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,nan                                                                            ,StatusEffectInstantGainGoldRange                      ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Gain Gold                                                                ,None                                                                                                                                                      ,[Indirect]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,nan                                                                            ,StatusEffectInstantGainGold                           ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
GoatWampusPhase2                                                         ,None                                                                                                                                                      ,Krunker                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,nan                                                                            ,StatusEffectNextPhase                                 ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Halt Spice With Text                                                     ,Retains <keyword=spice>                                                                                                                                   ,Pimento(1)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,Spice                                                                          ,StatusEffectHaltX                                     ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Halt Spice                                                               ,None                                                                                                                                                      ,[Indirect]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,Spice                                                                          ,StatusEffectHaltX                                     ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Haze                                                                     ,None                                                                                                                                                      ,"Burster(a1),Foggy Brew(a1),Haze Keg(a1),Hazeblazer(a1)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",nan                                                                            ,StatusEffectHaze                                      ,"Does Trigger, Is Unit                                                    ",10           ,nan                                     ,nan                                                                   
Heal & Cleanse (No Ping)                                                 ,None                                                                                                                                                      ,[Indirect]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,"Heal (No Ping), Cleanse                                                        ",StatusEffectInstantMultiple                           ,Is Alive                                                                 ,0           ,nan                                     ,nan                                                                   
Heal (No Ping)                                                           ,None                                                                                                                                                      ,[Indirect]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,nan                                                                            ,StatusEffectInstantHeal                               ,"Has Health, Is Alive                                                     ",0           ,nan                                     ,nan                                                                   
Heal Front Ally Based On Damage Dealt                                    ,None                                                                                                                                                      ,[Unused]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,nan                                                                            ,StatusEffectApplyXToFrontAllyBasedOnDamageDealt       ,nan                                                                      ,0           ,nan                                     ,Possibly former Berry Blade. Heals based on effective damage instead. 
"Heal Full, Gain Equal Spice                                              ",None                                                                                                                                                      ,[Unused]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,nan                                                                            ,StatusEffectInstantHealFullGainEqualX                 ,Has Health                                                               ,0           ,nan                                     ,nan                                                                   
Heal To Front Allies                                                     ,None                                                                                                                                                      ,[Unused]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,nan                                                                            ,StatusEffectApplyXToFrontAllies                       ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Heal                                                                     ,Restore <{a}><keyword=health>                                                                                                                             ,Demonheart(a9)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,nan                                                                            ,StatusEffectInstantHeal                               ,"Has Health, Is Alive                                                     ",0           ,nan                                     ,nan                                                                   
High Priority Position                                                   ,None; Used by Frontline Trait                                                                                                                             ,Spike Wall(1)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,nan                                                                            ,StatusEffectChangePriorityPosition                    ,Play Type Place                                                          ,0           ,nan                                     ,nan                                                                   
Hit All Crown Enemies                                                    ,Hits all <sprite name=crown>'d enemies                                                                                                                    ,[Unused]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,nan                                                                            ,StatusEffectChangeTargetMode                          ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Hit All Enemies In Row                                                   ,None; Used by Barrage Trait                                                                                                                               ,"Bom Barrel(1),Supersnower(1),Nimbus(1),Bombom(1),Bulbhead(1),Bumbo(1),Fallow(1),Vesta(1),Frost Bell(1),Octako(1),Jumbo(1),Leader(1),Leader(1),Leader(1),Leader(1),Leader(1),Leader(1),Leader(1),Leader(1),Leader(1),Leader(1),Leader(1),Molten Dip(1),Bigloo(1),Berry Bell(1),Pygmy(1),Blaze Beetles(1),Shellbo(1),Bigfoot(1),Spore Pack(1),Porkypine(1),Sunlight Drum(1),Frost Bomber(1),Pomegranate Charm(1)                                                                                                                                     ",nan                                                                            ,StatusEffectChangeTargetMode                          ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Hit All Enemies                                                          ,Hits all enemies                                                                                                                                          ,"Nova(1),Kraken(1),B.I.N.K(1),Bamboozle(1),Bombarder(1)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",nan                                                                            ,StatusEffectChangeTargetMode                          ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Hit All Inkd Enemies                                                     ,Hits all <keyword=null>'d enemies                                                                                                                         ,[Unused]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,nan                                                                            ,StatusEffectChangeTargetMode                          ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Hit All Undamaged Enemies                                                ,Hits all undamaged enemies                                                                                                                                ,Pombomb(1)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,nan                                                                            ,StatusEffectChangeTargetMode                          ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Hit Furthest Target                                                      ,None; Used by Longshot Trait                                                                                                                              ,"Leader(1),Leader(1),Leader(1),Leader(1),Snowbirb(1)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",nan                                                                            ,StatusEffectChangeTargetMode                          ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Hit Random Target                                                        ,None; Used by Aimless Trait                                                                                                                               ,"Loki(1),Leader(1),Leader(1),Leader(1),Leader(1),Leader(1),Leader(1),Leader(1),Leader(1),Leader(1),Junjun(1),Shrootles(1),Slapcrackers(1),Snowbo(1),Frost Lancer(1),Wort(1),Fish Charm(1),Gnome Charm(1)                                                                                                                                                                                                                                                                                                                                            ",nan                                                                            ,StatusEffectChangeTargetMode                          ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
ImmuneToFrost                                                            ,None                                                                                                                                                      ,[Unused]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,nan                                                                            ,StatusEffectImmuneToX                                 ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
ImmuneToSnow                                                             ,None                                                                                                                                                      ,"Lumako(1),Bumbo(1),Burster(1),Krunker(1),Razor(1),Dap(1),Droopy(1),Duper(1),Frost Guardian(1),Frost Guardian(1),Infernoko(1),Infernoko(1),The Ringer(1),Kraken(1),King Moko(1),Bigloo(1),Numskull(1),Dungrok(1),Gunkback(1),Weevil(1),Grizzle(1),Bamboozle(1),Bam(1),Frost Lancer(1),Frost Bomber(1),Queen Globerry(1),Veiled Lady(1),Tentickle(1),Woolly Drek(1)                                                                                                                                                                                  ",nan                                                                            ,StatusEffectImmuneToX                                 ,nan                                                                      ,0           ,nan                                     ,"This is actually snow resistance, which is on most bosses.            "
ImmuneToSpice                                                            ,None                                                                                                                                                      ,[Unused]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,nan                                                                            ,StatusEffectImmuneToX                                 ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
ImmuneToVim                                                              ,None                                                                                                                                                      ,[Unused]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,nan                                                                            ,StatusEffectImmuneToX                                 ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Increase All Spice Applied (No Desc)                                     ,None                                                                                                                                                      ,[Unused]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,nan                                                                            ,StatusEffectAffectAllXApplied                         ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Increase Attack & Health (No Constraints)                                ,None                                                                                                                                                      ,[Indirect]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,"Increase Attack, Increase Max Health                                           ",StatusEffectInstantMultiple                           ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Increase Attack & Health                                                 ,None                                                                                                                                                      ,[Indirect]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,"Increase Attack, Increase Max Health                                           ",StatusEffectInstantMultiple                           ,Has Health Or Does Damage                                                ,0           ,nan                                     ,nan                                                                   
Increase Attack & Lose Half Health                                       ,None                                                                                                                                                      ,[Indirect]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,"Increase Attack, Lose Half Health                                              ",StatusEffectInstantMultiple                           ,"Does Damage, Has Health                                                  ",0           ,nan                                     ,nan                                                                   
Increase Attack Effects                                                  ,None                                                                                                                                                      ,[Indirect]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,nan                                                                            ,StatusEffectInstantIncreaseEffects                    ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Increase Attack While Alone                                              ,None; Used by Fury Trait                                                                                                                                  ,"Leader(2),Frog Charm(4)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",nan                                                                            ,StatusEffectIncreaseAttackWhileAlone                  ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Increase Attack While Damaged                                            ,"While damaged, <keyword=attack> is increased by <{a}>                                                                                                     ",Grouchy(2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,Ongoing Increase Attack                                                        ,StatusEffectIncreaseAttackWhileDamaged                ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Increase Attack                                                          ,Increase <keyword=attack> by <{a}>                                                                                                                        ,"Magma Booster(a3),Flamewater(a1),Molten Dip(a2),Sunsong Box(a1)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",nan                                                                            ,StatusEffectInstantIncreaseAttack                     ,Does Damage                                                              ,0           ,nan                                     ,nan                                                                   
Increase Effects                                                         ,None                                                                                                                                                      ,[Indirect]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,nan                                                                            ,StatusEffectInstantIncreaseEffects                    ,Can Be Boosted                                                           ,0           ,nan                                     ,nan                                                                   
Increase Max Counter                                                     ,Increase <keyword=counter> by <{a}>                                                                                                                       ,Blaze Tea(a1)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,nan                                                                            ,StatusEffectInstantIncreaseMaxCounter                 ,Max Counter More Than 0                                                  ,0           ,nan                                     ,nan                                                                   
Increase Max Health (Not Current)                                        ,None                                                                                                                                                      ,[Indirect]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,nan                                                                            ,StatusEffectInstantIncreaseMaxHealth                  ,Has Health                                                               ,0           ,nan                                     ,nan                                                                   
Increase Max Health                                                      ,Increase <keyword=health> by <{a}>                                                                                                                        ,"Pinkberry Juice(a4),Berry Bell(a1)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ",nan                                                                            ,StatusEffectInstantIncreaseMaxHealth                  ,Has Health                                                               ,0           ,nan                                     ,nan                                                                   
Injury                                                                   ,None                                                                                                                                                      ,[Unused]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,nan                                                                            ,StatusEffectInjury                                    ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Instant Add Scrap                                                        ,None                                                                                                                                                      ,"Gigi's Gizmo(a1),Scrap Pile(a1)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",Scrap                                                                          ,StatusEffectApplyXInstant                             ,Has Scrap                                                                ,0           ,nan                                     ,nan                                                                   
Instant Apply Attack To Allies                                           ,None                                                                                                                                                      ,[Unused]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,nan                                                                            ,StatusEffectApplyXInstant                             ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Instant Apply Attack To Applier                                          ,None                                                                                                                                                      ,[Unused]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,nan                                                                            ,StatusEffectApplyXInstant                             ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
